id,label,vertex.id,team,onset,onset.censored,terminus,terminus.censored,duration
Isaiah Rider,Isaiah Rider,227,ATL,,FALSE,,FALSE,
Isaiah Taylor,Isaiah Taylor,228,ATL,,FALSE,,FALSE,
Ivan Johnson,Ivan Johnson,229,ATL,,FALSE,,FALSE,
Ivano Newbill,Ivano Newbill,230,ATL,,FALSE,,FALSE,
Jack Coleman,Jack Coleman,231,ATL,,FALSE,,FALSE,
Jack Givens,Jack Givens,232,ATL,,FALSE,,FALSE,
Jack Kerris,Jack Kerris,233,ATL,,FALSE,,FALSE,
Jack McMahon,Jack McMahon,234,ATL,,FALSE,,FALSE,
Jack Nichols,Jack Nichols,235,ATL,,FALSE,,FALSE,
Jack Stephens,Jack Stephens,236,ATL,,FALSE,,FALSE,
Jackie Moore,Jackie Moore,237,ATL,,FALSE,,FALSE,
Jacque Vaughn,Jacque Vaughn,238,ATL,,FALSE,,FALSE,
Jamal Crawford,Jamal Crawford,239,ATL,,FALSE,,FALSE,
James Nunnally,James Nunnally,240,ATL,,FALSE,,FALSE,
James Thomas,James Thomas,241,ATL,,FALSE,,FALSE,
Jannero Pargo,Jannero Pargo,242,ATL,,FALSE,,FALSE,
Jared Cunningham,Jared Cunningham,243,ATL,,FALSE,,FALSE,
Jason Collier,Jason Collier,244,ATL,,FALSE,,FALSE,
Jason Collins,Jason Collins,245,ATL,,FALSE,,FALSE,
Jason Terry,Jason Terry,246,ATL,,FALSE,,FALSE,
Jay Miller,Jay Miller,247,ATL,,FALSE,,FALSE,
Jaylen Adams,Jaylen Adams,248,ATL,,FALSE,,FALSE,
Jaylen Morris,Jaylen Morris,249,ATL,,FALSE,,FALSE,
Jeff Halliburton,Jeff Halliburton,250,ATL,,FALSE,,FALSE,
Jeff Mullins,Jeff Mullins,251,ATL,,FALSE,,FALSE,
Jeff Sanders,Jeff Sanders,252,ATL,,FALSE,,FALSE,
Jeff Sheppard,Jeff Sheppard,253,ATL,,FALSE,,FALSE,
Jeff Teague,Jeff Teague,254,ATL,,FALSE,,FALSE,
Jelani McCoy,Jelani McCoy,255,ATL,,FALSE,,FALSE,
Jeremy Evans,Jeremy Evans,256,ATL,,FALSE,,FALSE,
Jeremy Lin,Jeremy Lin,257,ATL,,FALSE,,FALSE,
Jeremy Richardson,Jeremy Richardson,258,ATL,,FALSE,,FALSE,
Jeremy Tyler,Jeremy Tyler,259,ATL,,FALSE,,FALSE,
Jermaine Jackson,Jermaine Jackson,260,ATL,,FALSE,,FALSE,
Jerry Chambers,Jerry Chambers,261,ATL,,FALSE,,FALSE,
Jerry Eaves,Jerry Eaves,262,ATL,,FALSE,,FALSE,
Jerry Fowler,Jerry Fowler,263,ATL,,FALSE,,FALSE,
Jerry Stackhouse,Jerry Stackhouse,264,ATL,,FALSE,,FALSE,
Jim Brasco,Jim Brasco,265,ATL,,FALSE,,FALSE,
Jim Creighton,Jim Creighton,266,ATL,,FALSE,,FALSE,
Jim Davis,Jim Davis,267,ATL,,FALSE,,FALSE,
Jim Jackson,Jim Jackson,268,ATL,,FALSE,,FALSE,
Jim Les,Jim Les,269,ATL,,FALSE,,FALSE,
Jim McElroy,Jim McElroy,270,ATL,,FALSE,,FALSE,
Jim Washington,Jim Washington,271,ATL,,FALSE,,FALSE,
Jimmy Darrow,Jimmy Darrow,272,ATL,,FALSE,,FALSE,
Joe Caldwell,Joe Caldwell,273,ATL,,FALSE,,FALSE,
Joe Graboski,Joe Graboski,274,ATL,,FALSE,,FALSE,
Joe Johnson,Joe Johnson,275,ATL,,FALSE,,FALSE,
Joe Meriweather,Joe Meriweather,276,ATL,,FALSE,,FALSE,
Joe Smith,Joe Smith,277,ATL,,FALSE,,FALSE,
Joel Przybilla,Joel Przybilla,278,ATL,,FALSE,,FALSE,
Johan Petro,Johan Petro,279,ATL,,FALSE,,FALSE,
John Bagley,John Bagley,280,ATL,,FALSE,,FALSE,
John Barber,John Barber,281,ATL,,FALSE,,FALSE,
John Barnhill,John Barnhill,282,ATL,,FALSE,,FALSE,
John Battle,John Battle,283,ATL,,FALSE,,FALSE,
John Brown,John Brown,284,ATL,,FALSE,,FALSE,
John Chaney,John Chaney,285,ATL,,FALSE,,FALSE,
John Collins,John Collins,286,ATL,,FALSE,,FALSE,
John Drew,John Drew,287,ATL,,FALSE,,FALSE,
John Edwards,John Edwards,288,ATL,,FALSE,,FALSE,
John Hargis,John Hargis,289,ATL,,FALSE,,FALSE,
John Jenkins,John Jenkins,290,ATL,,FALSE,,FALSE,
John Logan,John Logan,291,ATL,,FALSE,,FALSE,
John Long,John Long,292,ATL,,FALSE,,FALSE,
John Mahnken,John Mahnken,293,ATL,,FALSE,,FALSE,
John McConathy,John McConathy,294,ATL,,FALSE,,FALSE,
John O'Boyle,John O'Boyle,295,ATL,,FALSE,,FALSE,
John Pinone,John Pinone,296,ATL,,FALSE,,FALSE,
John Rennicke,John Rennicke,297,ATL,,FALSE,,FALSE,
John Thomas,John Thomas,298,ATL,,FALSE,,FALSE,
John Tresvant,John Tresvant,299,ATL,,FALSE,,FALSE,
John Tschogl,John Tschogl,300,ATL,,FALSE,,FALSE,
John Vallely,John Vallely,301,ATL,,FALSE,,FALSE,
John Wetzel,John Wetzel,302,ATL,,FALSE,,FALSE,
Johnny Davis,Johnny Davis,303,ATL,,FALSE,,FALSE,
Johnny McCarthy,Johnny McCarthy,304,ATL,,FALSE,,FALSE,
Johnny Payak,Johnny Payak,305,ATL,,FALSE,,FALSE,
Jon Barry,Jon Barry,306,ATL,,FALSE,,FALSE,
Jon Koncak,Jon Koncak,307,ATL,,FALSE,,FALSE,
Jordan Crawford,Jordan Crawford,308,ATL,,FALSE,,FALSE,
Jordan Sibert,Jordan Sibert,309,ATL,,FALSE,,FALSE,
Jose Calderon,Jose Calderon,310,ATL,,FALSE,,FALSE,
Josh Childress,Josh Childress,311,ATL,,FALSE,,FALSE,
Josh Davis,Josh Davis,312,ATL,,FALSE,,FALSE,
Josh Magette,Josh Magette,313,ATL,,FALSE,,FALSE,
Josh Powell,Josh Powell,314,ATL,,FALSE,,FALSE,
Josh Smith,Josh Smith,315,ATL,,FALSE,,FALSE,
Justin Anderson,Justin Anderson,316,ATL,,FALSE,,FALSE,
Justin Holiday,Justin Holiday,317,ATL,,FALSE,,FALSE,
Keith Edmonson,Keith Edmonson,318,ATL,,FALSE,,FALSE,
Keith Herron,Keith Herron,319,ATL,,FALSE,,FALSE,
Ken Charles,Ken Charles,320,ATL,,FALSE,,FALSE,
Ken McBride,Ken McBride,321,ATL,,FALSE,,FALSE,
Ken Norman,Ken Norman,322,ATL,,FALSE,,FALSE,
Ken Rohloff,Ken Rohloff,323,ATL,,FALSE,,FALSE,
Kenny Anderson,Kenny Anderson,324,ATL,,FALSE,,FALSE,
Kenny Smith,Kenny Smith,325,ATL,,FALSE,,FALSE,
Kent Bazemore,Kent Bazemore,326,ATL,,FALSE,,FALSE,
Kevin Huerter,Kevin Huerter,327,ATL,,FALSE,,FALSE,
Kevin O'Shea,Kevin O'Shea,328,ATL,,FALSE,,FALSE,
Kevin Willis,Kevin Willis,329,ATL,,FALSE,,FALSE,
Kirk Hinrich,Kirk Hinrich,330,ATL,,FALSE,,FALSE,
Kleggie Hermsen,Kleggie Hermsen,331,ATL,,FALSE,,FALSE,
Kris Humphries,Kris Humphries,332,ATL,,FALSE,,FALSE,
Kyle Korver,Kyle Korver,333,ATL,,FALSE,,FALSE,
Lamar Patterson,Lamar Patterson,334,ATL,,FALSE,,FALSE,
LaPhonso Ellis,LaPhonso Ellis,335,ATL,,FALSE,,FALSE,
Larry Foust,Larry Foust,336,ATL,,FALSE,,FALSE,
Larry Robinson,Larry Robinson,337,ATL,,FALSE,,FALSE,
Larry Siegfried,Larry Siegfried,338,ATL,,FALSE,,FALSE,
Lee Nailon,Lee Nailon,339,ATL,,FALSE,,FALSE,
